Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,CO2_Emission_kg,Cost_per_kg,Biodegradable,biodegradable_flag,category_encoded,Density_kg_m3_norm,Tensile_Strength_MPa_norm,CO2_Emission_kg_norm,Cost_per_kg_norm,co2_impact_index,cost_efficiency_index,material_suitability_score,sustainability_rank,eco_grade
1,Recycled Palm Leaf,Eco,489,13.19,0.235,1.06,Yes,1,0,0.040655961735565425,0.017946299789193387,0.007410869274936572,0.018404907975460127,0.9952,0.0001,0.5479,52,B
2,Waterproof Palm Leaf,Eco,561,15.29,0.449,1.47,Yes,1,0,0.04680560300649129,0.020858759569510707,0.02169849112030979,0.036371603856266435,0.9859,0.0,0.5446,123,B
3,Single-Ply Kraft Paper,Paper,742,36.08,0.742,0.91,Yes,1,3,0.06226511786812436,0.04969211139465217,0.04126051542261984,0.011831726555652941,0.9732,0.0001,0.5444,126,B
4,Single-Ply Aluminum Foil,Metal,2506,32.48,11.137,3.3,No,0,2,0.212931329005808,0.04469932319982248,0.7352784083322206,0.1165644171779141,0.1721,0.0,0.1479,586,D
5,Fire-Retardant Nylon Fabric,Plastic,1323,69.04,6.8,4.71,No,0,4,0.11188930645712333,0.09540386108953734,0.44572038990519425,0.1783523225241017,0.3603,0.0,0.234,553,D
6,Commercial-Grade Recycled Denim,Eco,287,4.78,0.573,1.61,Yes,1,0,0.023402801503245644,0.006282591811827361,0.029977300040058746,0.042506573181419816,0.9805,0.0,0.5421,163,B
7,Food-Grade Polycarbonate,Plastic,1142,61.84,3.615,4.0,No,0,4,0.09642979159549026,0.08541828469987796,0.23307517692615837,0.147239263803681,0.4985,0.0,0.2819,467,D
8,Lightweight PET Plastic,Plastic,1082,43.14,1.941,0.97,No,0,4,0.09130509053638537,0.059483523798957064,0.12131125650954733,0.014460999123575811,0.5711,0.0001,0.3027,382,C
9,Single-Ply Borosilicate Glass,Glass,1957,40.95,0.965,2.34,No,0,1,0.1660403143149983,0.056446244313769,0.05614901856055548,0.07449605609114812,0.6135,0.0,0.3094,366,C
10,Food-Grade Mushroom Mycelium,Eco,146,0.78,0.486,5.1,Yes,1,0,0.011359754014349162,0.0007350493731277045,0.02416878087862198,0.19544259421560034,0.9843,0.0,0.5435,140,B
11,Laminated PVC Film,Plastic,1469,55.48,3.339,2.59,No,0,4,0.12435941236761189,0.0765976922223455,0.21464815062091064,0.08545135845749342,0.5105,0.0,0.2816,471,D
12,Lightweight Plywood,Wood,515,31.71,0.535,2.23,Yes,1,5,0.04287666552784421,0.0436314212803728,0.02744024569368407,0.06967572304995619,0.9822,0.0,0.5482,48,B
13,Food-Grade Wax Paper,Paper,892,14.86,1.09,1.78,Yes,1,3,0.07507687051588657,0.020262398757350496,0.06449459206836694,0.04995617879053463,0.9581,0.0,0.5319,288,B
14,Double-Wall Cornstarch Foam,Eco,61,0.92,1.708,3.25,Yes,1,0,0.004099760847283909,0.0009292133584821926,0.10575510749098677,0.11437335670464505,0.9313,0.0,0.5257,326,B
15,Insulated PLA Bioplastic,Eco,627,36.4,2.184,4.53,Yes,1,0,0.05244277417150666,0.05013591478974814,0.13753505140873282,0.17046450482033307,0.9106,0.0,0.5235,332,B
